"1","2","3","4","5","6","7","8","9"
20,1,1,9,2,3,3,0,0
0,12,0,2,0,0,16,0,0
1,0,1,3,0,0,1,0,0
8,0,1,35,3,0,5,0,0
4,1,0,3,6,1,1,0,0
3,0,0,1,1,11,2,0,0
0,3,0,1,1,0,62,0,0
0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,2
"1","2","3","4","5","6","7","8","9"
24,0,0,14,0,1,0,0,0
1,10,0,1,0,0,18,0,0
0,0,2,0,1,0,3,0,0
8,0,2,36,0,0,6,0,0
4,1,0,3,4,1,3,0,0
3,0,0,2,0,9,4,0,0
1,1,0,2,0,0,63,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2
"1","2","3","4","5","6","7","8","9"
23,0,0,11,4,0,1,0,0
2,9,0,1,0,0,18,0,0
0,0,1,2,0,0,3,0,0
6,0,0,40,3,0,3,0,0
5,0,0,3,3,1,4,0,0
3,0,0,2,1,11,1,0,0
1,0,1,1,1,0,63,0,0
1,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0
"1","2","3","4","5","6","7","8","9"
22,1,0,12,2,0,2,0,0
2,5,0,3,0,2,18,0,0
0,0,3,1,0,0,3,0,0
7,0,1,42,0,0,2,0,0
2,1,1,1,8,1,2,0,0
4,0,0,2,1,8,3,0,0
2,2,0,1,0,0,63,0,0
0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2
"1","2","3","4","5","6","7","8","9"
14,0,0,16,6,1,2,0,0
1,9,0,1,0,1,18,0,0
0,0,2,0,1,0,3,0,0
8,0,0,36,2,0,5,0,0
2,0,0,2,8,0,4,0,0
3,0,1,0,0,11,3,0,0
1,7,1,3,1,0,55,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2
"1","2","3","4","5","6","7","8","9"
24,0,0,10,2,1,2,0,0
3,14,0,0,0,0,13,0,0
0,0,0,2,0,0,4,0,0
6,1,0,41,2,0,2,0,0
5,0,0,2,5,0,5,0,0
2,0,0,1,2,10,3,0,0
0,1,0,4,1,0,62,0,0
0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1
"1","2","3","4","5","6","7","8","9"
20,0,0,13,3,0,3,0,0
1,7,0,1,0,0,21,0,0
0,0,1,3,0,0,2,0,0
8,0,0,38,2,0,3,0,0
6,0,1,2,4,2,1,0,0
0,0,1,1,0,12,4,0,0
0,1,0,4,0,0,62,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
"1","2","3","4","5","6","7","8","9"
24,0,0,9,6,0,1,0,0
1,11,0,1,1,0,16,0,0
1,0,2,1,0,0,3,0,0
5,0,2,38,2,0,4,0,0
3,0,0,2,6,1,5,0,0
3,0,0,1,1,8,5,0,0
1,1,0,5,1,0,59,0,0
1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1
"1","2","3","4","5","6","7","8","9"
27,1,0,7,2,1,2,0,0
1,7,0,0,2,0,20,0,0
0,0,3,0,0,0,4,0,0
4,0,0,43,1,0,3,0,0
3,1,0,3,6,1,3,0,0
0,1,0,3,0,13,2,0,0
1,3,0,2,1,0,61,0,0
0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,2,0,0
"1","2","3","4","5","6","7","8","9"
24,1,0,8,4,0,2,0,0
1,8,0,4,0,0,17,0,0
0,0,1,2,0,0,3,0,0
4,0,0,39,2,0,6,0,0
6,1,0,1,5,0,4,0,0
1,0,1,2,1,11,2,0,0
0,0,1,1,0,0,66,0,0
0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0
